team,home_win_rate,home_draw_rate,home_loss_rate
France,58.62708719851577,19.851576994434136,21.521335807050093
Franconia,100.0,0.0,0.0
French Guiana,39.50617283950617,22.22222222222222,38.2716049382716
Frøya,26.666666666666668,6.666666666666667,66.66666666666666
Gabon,45.588235294117645,32.84313725490196,21.568627450980394
Galicia,33.33333333333333,33.33333333333333,33.33333333333333
Gambia,34.69387755102041,34.69387755102041,30.612244897959183
Georgia,42.758620689655174,25.517241379310345,31.724137931034484
German DR,58.333333333333336,22.727272727272727,18.939393939393938
Germany,61.87050359712231,21.223021582733814,16.906474820143885
Ghana,62.22222222222222,24.444444444444443,13.333333333333334
Gibraltar,33.33333333333333,14.444444444444443,52.22222222222223
Gotland,45.0,10.0,45.0
Gozo,42.857142857142854,28.57142857142857,28.57142857142857
Greece,46.728971962616825,22.118380062305295,31.15264797507788
Greenland,40.625,15.625,43.75
Grenada,41.98473282442748,20.610687022900763,37.404580152671755
Guadeloupe,49.29577464788733,16.19718309859155,34.50704225352113
Guam,33.33333333333333,9.803921568627452,56.86274509803921
Guatemala,47.038327526132406,26.480836236933797,26.480836236933797
Guernsey,65.9090909090909,9.848484848484848,24.242424242424242
Guinea,57.93991416309014,24.034334763948497,18.025751072961373
Guinea-Bissau,41.935483870967744,25.806451612903224,32.25806451612903
Guyana,40.88050314465409,22.641509433962266,36.477987421383645
Găgăuzia,0.0,33.33333333333333,66.66666666666666
Haiti,47.674418604651166,23.643410852713178,28.68217054263566
Hitra,40.0,10.0,50.0
Hmong,100.0,0.0,0.0
Honduras,53.03514376996805,23.961661341853034,23.003194888178914
Hong Kong,37.3134328358209,23.88059701492537,38.80597014925373
Hungary,56.024096385542165,22.08835341365462,21.88755020080321
Iceland,37.71186440677966,21.1864406779661,41.10169491525424
India,41.10032362459547,22.97734627831715,35.92233009708738
Indonesia,49.19168591224018,20.323325635103924,30.484988452655887
Iran,63.714285714285715,21.142857142857142,15.142857142857144
Iraq,56.96969696969697,26.36363636363636,16.666666666666664
Iraqi Kurdistan,61.53846153846154,23.076923076923077,15.384615384615385
Isle of Man,62.96296296296296,11.11111111111111,25.925925925925924
Isle of Wight,59.25925925925925,14.814814814814813,25.925925925925924
Israel,42.96028880866426,24.548736462093864,32.49097472924188
Italy,63.00813008130082,25.609756097560975,11.38211382113821
Ivory Coast,65.01547987616098,23.52941176470588,11.455108359133128
Jamaica,47.44744744744745,25.225225225225223,27.32732732732733
Japan,53.26315789473684,22.105263157894736,24.63157894736842
Jersey,69.76744186046511,8.527131782945736,21.705426356589147
