team,away_win_rate,away_draw_rate,away_loss_rate
Tibet,6.666666666666667,6.666666666666667,86.66666666666667
Ticino,0.0,0.0,100.0
Timor-Leste,5.084745762711865,5.084745762711865,89.83050847457628
Togo,19.318181818181817,25.757575757575758,54.92424242424242
Tonga,17.94871794871795,12.82051282051282,69.23076923076923
Trinidad and Tobago,31.70731707317073,21.70731707317073,46.58536585365854
Tunisia,28.65853658536585,31.402439024390244,39.9390243902439
Turkey,34.21828908554572,23.59882005899705,42.18289085545723
Turkmenistan,26.41509433962264,16.9811320754717,56.60377358490566
Turks and Caicos Islands,16.666666666666664,13.333333333333334,70.0
Tuvalu,11.538461538461538,11.538461538461538,76.92307692307693
Two Sicilies,16.666666666666664,0.0,83.33333333333334
Uganda,28.98936170212766,28.191489361702125,42.819148936170215
Ukraine,37.142857142857146,26.857142857142858,36.0
United Arab Emirates,27.756653992395435,25.09505703422053,47.14828897338403
United Koreans in Japan,25.0,50.0,25.0
United States,27.147766323024054,19.243986254295535,53.608247422680414
United States Virgin Islands,13.636363636363635,13.636363636363635,72.72727272727273
Uruguay,35.55555555555556,23.760683760683758,40.68376068376068
Uzbekistan,36.45833333333333,19.270833333333336,44.27083333333333
Vanuatu,30.53435114503817,10.687022900763358,58.778625954198475
Vatican City,0.0,25.0,75.0
Venezuela,18.560606060606062,17.803030303030305,63.63636363636363
Vietnam,31.007751937984494,20.155038759689923,48.837209302325576
Vietnam Republic,33.33333333333333,21.48148148148148,45.18518518518518
Wales,25.683060109289617,19.672131147540984,54.644808743169406
Wallis Islands and Futuna,14.285714285714285,0.0,85.71428571428571
Western Armenia,36.36363636363637,36.36363636363637,27.27272727272727
Western Australia,32.25806451612903,9.67741935483871,58.06451612903226
Western Isles,28.57142857142857,14.285714285714285,57.14285714285714
Western Sahara,0.0,0.0,100.0
Yemen,11.486486486486488,16.216216216216218,72.2972972972973
Yemen DPR,17.391304347826086,13.043478260869565,69.56521739130434
Ynys Môn,48.57142857142857,17.142857142857142,34.285714285714285
Yorkshire,50.0,0.0,50.0
Yugoslavia,39.249146757679185,20.819112627986346,39.93174061433447
Zambia,37.960954446854664,23.427331887201735,38.611713665943604
Zanzibar,16.3265306122449,21.08843537414966,62.585034013605444
Zimbabwe,30.136986301369863,27.397260273972602,42.465753424657535
Åland Islands,35.0,10.0,55.00000000000001
